mode,fct_ms
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0172
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0172
Flowlet,0.0112
Flowlet,0.0088
Flowlet,0.0184
Flowlet,0.0064
Flowlet,0.0184
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.016
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0136
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0088
Flowlet,0.0076
Flowlet,0.0208
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.022
Flowlet,0.0064
Flowlet,0.0136
Flowlet,0.0064
Flowlet,0.0124
Flowlet,0.0076
Flowlet,0.0112
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.016
Flowlet,0.0112
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0244
Flowlet,0.0112
Flowlet,0.0208
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0136
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0208
Flowlet,0.0076
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0124
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0112
Flowlet,0.0148
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0256
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0136
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0232
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0136
Flowlet,0.0172
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0232
